id,stn,lat,long,ele,state,v1,X,Y,coastal,stnlist,Year,Y1900,Y1901,Y1902,Y1903,Y1904,Y1905,Y1906,Y1907,Y1908,Y1909,Y1910,Y1911,Y1912,Y1913,Y1914,Y1915,Y1916,Y1917,Y1918,Y1919,Y1920,Y1921,Y1922,Y1923,Y1924,Y1925,Y1926,Y1927,Y1928,Y1929,Y1930,Y1931,Y1932,Y1933,Y1934,Y1935,Y1936,Y1937,Y1938,Y1939,Y1940,Y1941,Y1942,Y1943,Y1944,Y1945,Y1946,Y1947,Y1948,Y1949,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Average
23,USH00196486,41.9819,-70.6961,13.7,MA,PLYMOUTH-KINGSTON,-137754.0338,4676508.552,288.7543491,USH00196486,USH00196486,1216.8,1218.5,1236.3,1217.2,1218.6,915.4,1588.3,1216.1,1505.2,1228.5,1223.8,1039.7,1008.6,1029.6,1264.4,1249.8,1395.9,1425.4,1242.6,1382.9,1218.5,1316.3,1191.2,1332.3,1498.2,1499.9,1347.4,1183,1292.2,1040,1193.3,1266.4,1490.2,1361.3,827.3,989.4,855,1233.1,1004.6,1179.5,1130.9,1081.2,981.1,1034.5,1087,1306.1,588.8,861.6,1204.5,1045.2,919,1137.1,1241,958.7,725.2,964.6,877.3,1144.5,940,902.6,1271.1,1209.9,999.8,1512.4,1075.4,1294.3,1186.7,1255,871.6,801.3,1520.7,891.7,1202.1,1482.1,1071.9,1515.7,1175,986.4,1054.6,862.4,1325,850.8,1421.7,1246.5,1191.7,1211.7,1023.1,1518.5,1240.1,1457.2,1422.4,1528.6,1499.9,1254.7,1153.9,1200.1,1131.9,1275.3,1686.9,1232.9,1314.1,1185.155446
24,USH00196783,42.5242,-71.1264,27.4,MA,READING,-167648.5328,4740095.285,16144.10112,USH00196783,USH00196783,1246.3,1170.8,1194.3,1070.3,1285.9,995.2,1254.2,1063,1453.4,1285.2,1197.3,988.9,922.1,1098,1131.4,1052,1187.4,1307.7,1133.3,1201.1,1043.4,1314,1171.5,1254.8,1313.1,1345.5,1270.6,1193.1,1172.2,1121.9,1075.8,1159.9,1270.8,1201,909.5,1011.9,855.9,1117.3,1097.7,1025.9,932.6,1153.7,1128.3,1190.4,1057.9,1282.7,785.7,1031.2,1125.1,1025.8,1067.7,1063.2,1207.1,842.1,965.6,1009.1,919.5,1090.6,1084.3,1000.8,1229.2,1142.4,978.2,1278.2,752.9,1247.7,1274.2,1224.6,994.1,853.6,1267.1,1141.6,1264,1110.4,937.7,1387.7,929.6,788.9,1146.9,825.6,1286.4,696.9,1208.4,1519.7,1048.6,1116.4,928.6,1251.7,1468.8,1408.9,1193.9,1512.4,1355.3,1306.7,1137.6,1028.8,1048.4,1243.6,1571.9,1057.2,1292.1,1134.494059
25,USH00198367,41.9003,-71.0658,6.1,MA,TAUNTON,-169269.2089,4670277.935,8905.398529,USH00198367,USH00198367,1309.1,1456.4,1109.1,1026.4,1161.3,872.2,1374.4,1181.5,1441.1,1195.1,1031.2,846.6,845.5,1103.5,1102.8,1154.6,1174.6,1349.7,1241.5,1170.9,1006.2,1114.5,1141.6,1332.8,1338,1386,1373.1,1209.8,1350.8,982,1229.8,1135.3,1255.9,1360,874.7,1197.2,880.2,1232.8,1094.1,1090.9,1230.6,1188.5,1100.2,1013.7,963.4,1221.7,669.4,952.1,1171.6,843.9,1066,1058.5,1550.7,988,969,1119.7,986.1,1225,1095.3,1009,1478.5,1209.2,1194.6,1519.8,1096.3,1341.8,1210.1,1183.5,1054.8,901.1,1366.9,1028.6,1211,1282.6,1042.6,1191.7,1035.3,1066.9,1228.4,921.2,1283.3,838.5,1292.4,1160.3,972.3,1293.6,1007.6,1451.8,1336.9,1272.3,1229.5,1610.6,1335.6,1483.6,1160.7,1100.5,957.8,1187.6,1604.1,1134.8,1102.2,1163.727723
26,USH00198757,42.1608,-71.2458,50.3,MA,WALPOLE 2,-181406.2041,4700661.859,16954.71371,USH00198757,USH00198757,1112.4,1093.9,1157.9,1154.3,1326.7,837,1532.2,964.7,1455.5,1113.5,1135.8,1031.2,995.3,1100.8,1042.3,1034.5,1105,1281.4,1171.9,1314.9,1116.1,1405.2,1137.7,1181.1,1229.3,1340.3,1101.2,1146.3,1194.6,1172.6,1052.9,1128.7,1274.6,1200,881.4,1020.7,887,1126.5,949.1,1075,989,1089,1047.7,1150.5,994,1256.4,908,1024.7,998.8,994.2,1136,995.5,1172.5,971.4,1025.1,1035.1,1016.3,1168.6,1039,984.9,1062,1182.2,1035.8,1367.3,813.9,1150.5,1234.3,1220.2,875.3,835.9,1475,1142.3,1174.8,1159.9,924.2,1188,833.4,772.5,1019.3,750.8,1219.9,761.1,1270.8,1381.6,879.4,1151.7,1049.8,1302.6,1444.1,1307.8,1207.9,1486.6,1395.6,1156.7,1133.6,1073.3,1181.4,1269.4,1589.7,1015.4,1272.1,1122.240594
27,USH00199316,42.1333,-71.4333,64,MA,WEST MEDWAY,-197215.2143,4699130.936,29652.24253,USH00199316,USH00199316,1105.7,1128.7,1218.1,1256.3,1292.4,872.9,1310.8,1094.4,1569.8,1193.7,1163.3,1067.6,1044.4,1082.4,1053.6,1107.1,1081.6,1303.1,1270.8,1298.3,1138.6,1378.7,1125.6,1163.9,1198.1,1409.3,1124.6,1192.1,1159.5,1105.7,1048,1163.5,1472.1,1263.2,1072.6,972.1,986,1269.7,821.3,1080.1,1085.5,1118.7,1258.1,1195.4,1108.8,1322.6,867.1,1100,1266.8,1104.9,1235.8,1125.9,1266,1062.2,1061.2,990.7,798.5,1379.3,1042.7,1249.6,1036.6,1194.5,1105.1,1399.3,931.9,1033.6,1500.4,1275.3,993,849.2,1509.3,939,1155.4,1270.4,978.8,1469.1,955.3,846.8,1118.2,711.7,1267,721.9,1276,1418.9,936.8,1240,1180.2,1387.7,1223.4,1440.8,1072.7,1566.3,1349.8,1171.7,1204.3,1100.2,1099.8,1141.2,1449.3,1048.9,1203.6,1159.137624
28,USH00270706,44.3061,-71.6575,359.7,NH,BETHLEHEM 2,-190588.133,4942456.876,131723.9428,USH00270706,USH00270706,797.9,638.6,551.8,499.9,559.6,570.3,847.3,703.7,911.9,670.2,600.3,461.1,417.3,567.7,728.1,602.3,590.5,947,728.1,658.3,579.5,658.3,738.4,819.1,736.3,808.1,966.5,650.4,837.7,834.4,794,865.9,817.3,993.9,1053.7,627.7,865.2,1097.7,1074.4,1052.9,991.3,904,1213.4,1164.5,883.4,1267.1,1397.2,1059.4,1406,1137.9,1156.7,1269.9,1025.8,1367,1108.3,1258.2,1217.3,1151.7,1360.8,1216.8,1042.8,913.3,991.7,1137.9,1450.5,1179.8,1358.3,1286.5,1245,883.1,1350.1,1122.6,986.3,977.4,1096.5,1262.3,820.2,851.2,943.6,984,957.4,764.7,1040.7,1098.6,727.2,822.1,783.5,979.6,910.3,1123.6,963.4,1130.6,851.9,746.5,701.1,668.7,669.8,714.6,1205.6,807.7,825.4,929.2683168
29,USH00272174,43.15,-70.95,24.4,NH,DURHAM,-146544.9143,4808251.859,21995.17844,USH00272174,USH00272174,1216.5,761.9,955,1051.8,1250.4,830.3,1083.3,808.9,1166.8,716.4,900.1,799.9,877.1,995.4,908,861.9,929.2,916,812.4,1009.6,1045.2,1339.2,954,1056.4,952.1,1157.3,892.9,1012.4,1309,1038.2,1003.8,1272.9,1233.6,1016,816.4,1034.5,791.9,1012.2,1164.9,1013.8,1122.4,1043.7,1180.1,1116.3,821.9,1067.8,831.9,1022.2,1063.1,1020.6,948.9,1062.4,989.8,1043.3,1064.6,1077.7,869,1047.3,979.7,961.7,1015.6,993.7,893.4,1122.3,801.7,1048.3,1204,1209.4,836.8,964.9,1179.4,1000.9,1031.1,1006,927.1,1253.3,863.8,865.5,982.4,765.3,1295.9,873.7,1246,1354.1,811.4,926.5,981.5,1251.4,1433.9,1585.7,1211.4,1581.9,1246.2,1107,996.2,1005.2,1101,1087.9,1574.7,850.4,929.7,1036.817822
30,USH00272999,45.0875,-71.2872,506,NH,FIRST CONNECTICUT LAKE,-152152.8174,5026188.397,169803.9762,USH00272999,USH00272999,821.7,811.1,1007.8,962.3,917.1,570.2,891.5,816.1,820,897.2,698.4,794.8,915.7,749.9,649.7,680.4,650.8,965.3,822.8,974.6,906.4,865.5,664.3,874.3,837,718.1,891.9,958.3,1052.3,1080.2,769.3,890.8,871.3,714.7,1271.4,958.9,1423.5,1209.9,1034,1060.2,1277.3,1126.9,1006.2,1404,1241.4,1508.2,1464.7,1183.8,1542.4,1385.8,1247.8,1447.6,1207.9,1718.3,1378.5,1264.6,1304.7,1220.1,1363.4,1021.4,1507,1201,1109.9,1075.9,1267.5,1415.4,1609.6,1149.2,1431.4,1586.3,1324.9,1257.3,914.5,1186.3,1274,1069.1,1059.7,1411.1,1306.2,1183.2,1102.1,859.1,1184.4,1170,957.4,1041,1321,1187.3,1217.2,1107.1,965.5,1348.5,995.8,971.2,959.9,967.5,1025.1,942,1148.8,930.8,935.4,1083.775248
31,USH00273850,43.7031,-72.2847,183.8,NH,HANOVER,-248236.0448,4880974.512,145654.8335,USH00273850,USH00273850,682.9,682,783.8,816.2,929.8,630.9,925.4,763.8,881.5,746.2,639.5,631.3,774.7,767.3,698.3,670.9,742.5,863.6,836.1,771.4,708.8,920.3,799.6,875.4,854,838.5,837.2,1025.9,1008.7,975,821.1,893.3,823.6,1020.3,1057.8,867.8,872.9,1054.9,1056.9,1000.5,1105.6,987.7,1029.8,1016.2,1029.5,979.6,939.7,741.6,1153.5,984.9,1057.2,1058.6,995.7,1442.5,1172.4,977.8,1090.2,1057.5,1166.8,989.8,1049.4,1007.2,785.2,1031.5,925.5,1155.4,1169,1098.9,944.8,1134.2,1044.5,873.4,1001.1,1064.8,1071.8,1054.8,804.7,911.2,882.2,821,977.8,636.3,1107.8,1126,631.2,811.3,976.7,1066.6,1021.8,1080,885.5,1212.9,888.1,797,635.2,814.6,839.2,777,1200.3,756,814.2,924.8841584
32,USH00274399,42.9389,-72.3244,158.5,NH,KEENE,-261004.1756,4796408.246,123318.1312,USH00274399,USH00274399,863.5,804.6,919.6,940.8,1117.7,639.6,1132.2,812.8,1003.3,831.7,857.3,682.6,822.2,816.6,787.3,851.4,731.6,975.8,951.2,1012.6,848.2,1102.2,862.2,971.5,956.5,922.1,874.6,1032.2,1081.7,1151,890.8,1042.3,937.5,1068.8,824.2,927.8,937.8,1253.1,1049.7,1104.2,1160.2,1162.2,896.9,1029.5,911.7,1245,1137.3,1097.5,1183.1,990.6,1031.2,1222.5,1117.6,1166.6,1157,978.9,1113.4,1153.2,1232.5,1208.6,1219.3,1081.3,760.8,1104.2,1068.3,1065.4,1379.2,1188.7,1044.7,961.2,1162.5,1140.2,1023.9,1030.2,942,1182.1,774.9,827.2,847.2,659.8,1062.3,694.2,1094.1,1195.1,720,911.9,1010.5,1092.6,1220,1182.3,930.6,1187.2,1130.4,914.2,894.2,916.8,904.4,989.6,1223.9,842.3,931.2,1000.982178
